Time	x	theta1	theta2
761.677	-0.01881494459578857	0.03856514115211477	0.03856514115211477
761.702	-0.017093315678526844	0.03342261382674009	0.03342261382674009
761.736	-0.015617633749445414	0.029015442076515883	0.029015442076515883
761.767	-0.013650057844003471	0.023140075059940233	0.023140075059940233
761.801	-0.012051402420831886	0.01836693691151194	0.01836693691151194
761.828	-0.012051402420831886	0.01836693691151194	0.01836693691151194
761.854	-0.010083826515389943	0.012492868314817178	0.012492868314817178
761.877	-0.00848517109221833	0.007720514310927176	0.007720514310927176
761.902	-0.006517595186776387	0.0018470777510648773	0.0018470777510648773
761.926	-0.006517595186776387	0.0018470777510648773	0.0018470777510648773
761.948	-0.004672992775424573	-0.0036592073199969793	-0.0036592073199969793
761.979	-0.0029513638581628865	-0.008798503472082143	-0.008798503472082143
